Address,Long,Lat
MARSEILLE ST CHARLES,5.380843379830792,43.3032831626636
NICE VILLE,7.286559121678756,43.715173751991884
TOULON,5.929717733657508,43.12858683541123
CANNES,7.018725988316509,43.55401070550098
ANTIBES,7.119225384209233,43.585886664132175
VALENCE TGV RHONE-ALPES SUD,4.893437965143693,44.9279186519997
AVIGNON TGV,4.873999693506314,43.93252871071503
ST RAPHAEL VALESCURE,6.769239761566718,43.42366684812933
MODANE,6.659377762509819,45.193429932426135
CHAMBERY CHALLES LES EAUX,5.919644744721905,45.57190136351876
ST JEAN DE MAURIENNE ARVAN,6.354860958216277,45.277800370426114
PARIS (intramuros),2.324000851373341,48.876449960632634
ARLES,2.516022310523782,50.50414272658824
AVIGNON CENTRE,4.805218639819437,43.94117071044904
MONTELIMAR GARE SNCF,4.744565283791178,44.55896224752883
ORANGE,4.819641074737519,44.137454588757976
LYON (intramuros),5.075877861112024,45.72093606755898
RIOM CHATEL GUYON,3.121138530418133,45.88996059116421
CLERMONT FERRAND,3.090602610395683,45.76791961678115
CHATEAUROUX,1.703183637265524,46.810961807288315
LIMOGES BENEDICTINS,1.269103246802025,45.83756066577441
ISSOUDUN,1.987487716284132,46.95199502559162
BRIVE LA GAILLARDE,1.528412956598483,45.15212435536527
UZERCHE,1.570538987856984,45.4411629177384
ANGERS ST LAUD,-0.556795220842896,47.46436992000471
MULHOUSE VILLE,7.321970897757813,47.7619034023579
CHALON SUR SAONE,4.842615253494189,46.781625751008704
AIX EN PROVENCE TGV,5.361302330941023,43.498323240113415
STRASBOURG,7.731594953278417,48.58287025491014
BELFORT-MONTBELIARD TGV,6.898445295065638,47.58602332147397
BESANCON - F COMTE TGV,5.956208298209646,47.30876474795409
METZ VILLE,6.158221809436721,49.21554938935268
THIONVILLE,6.169815044691961,49.35372508468278
BORDEAUX ST JEAN,-0.555977516187792,44.82592310199666
SAINTES,-0.617587884909049,45.74784035534782
JONZAC,-0.441990254629341,45.43868717338337
LUCON,2.611452980449508,46.33555572684901
LA ROCHELLE VILLE,-1.145160124084131,46.15251607781638
ROCHEFORT,-0.963548062025048,45.94746632056426
NANTES,-1.544230274778459,47.216453501485695
CHAMPAGNE-ARDENNE,3.993655995605394,49.21455924201552
AEROPORT CDG2 TGV ROISSY,2.570035507097067,49.0085079715308
LILLE (intramuros),3.073603597508174,50.62569602718498
TGV HAUTE PICARDIE,2.832038909165286,49.857763360724036
MEUSE TGV,5.371700640274836,49.523093923192405
BIARRITZ,-1.546701196505992,43.45903906706433
BAYONNE,-1.47066304089878,43.49694782534664
DAX,-1.050345245238319,43.72090050902884
MASSY TGV,2.25484995064226,48.71788509621877
ST PIERRE DES CORPS,0.725081914342086,47.385843594997674
BREST,-4.479243011743669,48.3879297952412
VENDOME VILLIERS SUR LOIR,1.01499350380989,47.8094576231871
TOURS,0.668048618706485,47.35423134182372
LA ROCHE SUR YON,-1.435831476322877,46.67211489091913
LE MANS,0.194090806361883,47.99501903643902
VITRE,-1.212365535123974,48.12252933513193
LAVAL,4.72974509462416,45.788489228914436
MACON LOCHE TGV,4.778443228894927,46.282781818897995
DIJON VILLE,5.027142558968659,47.32301605786211
BEAUNE,4.848573032292899,47.022702194436846
COLMAR,7.349087420944785,48.075310117840175
LES ARCS DRAGUIGNAN,6.482541727033355,43.45561262532446
NANCY,6.174101796891322,48.689702404399846
RENNES,-1.691801073204263,48.11826355636143
GUINGAMP,-3.143272301851309,48.55551057499482
ST BRIEUC,-2.764962751496382,48.50719098335715
MORLAIX,-3.832477837161316,48.577981731174525
LE CREUSOT MONTCEAU MONTCHANIN,4.500111834654999,46.765214479645465
LA BAULE ESCOUBLAC,-2.389259977775439,47.28869813033697
ST NAZAIRE,-2.211324800004774,47.28676363953024
ARVANT,3.31053930071958,45.365318541611714
ISSOIRE,3.254208169172224,45.54410777430989
AUMONT AUBRAC,3.283356515388857,44.71819524766465
NEUSSARGUES,2.979124325577049,45.12527901420377
MILLAU,3.07437667979391,44.102428225009724
ST ROME DE CERNON,2.967445456514812,44.013993469293446
ST CHELY D'APCHER,3.270797800665272,44.80169452565202
ST FLOUR CHAUDES AIGUES,3.106143478141462,45.03497152028242
BEZIERS,3.21957141341165,43.336016861538425
MARVEJOLS,3.281142663772214,44.54467010094681
BANASSAC LA CANOURGUE,3.196254083905296,44.44756428729797
CAMPAGNAC ST GENIEZ,3.066230308233966,44.42200009117782
SEVERAC LE CHATEAU,3.056233833704843,44.32588340399582
MASSIAC BLESLE,3.196485121914399,45.2537520440839
LE BOUSQUET D'ORB,3.168927392137638,43.691098536008155
BEDARIEUX,3.147606955268796,43.605074083118474
ST GEORGES DE LUZENCON,2.983520239749485,44.066053581309056
BRASSAC LES MINES STE FLORINE,3.330155917792313,45.414079259619086
TOURNEMIRE ROQUEFORT,3.016591363237482,43.96998189614436
CEILHES ROQUEREDONDE,3.15516344807667,43.81213917030679
MAGALAS,3.229498809992506,43.46767292795649
LE MONASTIER,3.252222124005448,44.50890669463762
MARNE LA VALLEE CHESSY,2.782694949997957,48.87003411396622
ARRAS,2.781877763520992,50.28670060943111
DOUAI,3.090430914770062,50.37158212907979
ST ETIENNE CHATEAUCREUX,4.399559786053118,45.44356445940451
POITIERS,0.332786866293225,46.582364264631224
VICHY,3.43072483612765,46.12683921223093
MOULINS SUR ALLIER,3.339184600895671,46.56123451905579
NEVERS,3.150515693652952,46.9873201790838
BOURG EN BRESSE,5.214997787680272,46.19948315282448
NIMES,4.327963542425942,43.81354643785989
CARCASSONNE,2.352986949598741,43.21826921559891
