LIBELLE,COMMUNE,DEPARTEMEN,X_WGS84,Y_WGS84
LA-BROHINIERE,MONTAUBAN-DE-BRETAGNE,ILLE-ET-VILAINE,-2.110477930274493,48.21346883098549
DIJON-VILLE,DIJON,COTE-D'OR,5.027142558968659,47.32301605786211
SAINT-VINCENT-DE-TYROSSE,SAINT-VINCENT-DE-TYROSSE,LANDES,-1.306419925731927,43.65764559327288
GOXWILLER,GOXWILLER,BAS-RHIN,7.478786397235771,48.43277220196985
ANIZY-PINON,PINON,AISNE,3.448684506906266,49.49586645638771
COLLEVILLE-STE-HELENE,COLLEVILLE,SEINE-MARITIME,0.453481461663384,49.74788129001654
AUDUN-LE-ROMAN,AUDUN-LE-ROMAN,MEURTHE-ET-MOSELLE,5.89146426804764,49.366590157042125
CAUDIES,CAUDIES-DE-FENOUILLEDES,PYRENEES-ORIENTALES,2.373080346213851,42.810639950853094
OBJAT,OBJAT,CORREZE,1.406828483895449,45.26471287539302
SAINT-AUBIN-DU-VIEIL-EVREUX,LE-VIEIL-EVREUX,EURE,1.210704418278621,48.99858874568956
SOLLIES-PONT,SOLLIES-PONT,VAR,6.046659633633765,43.19218999615403
SAINT-SULPICE-LAURIERE,SAINT-SULPICE-LAURIERE,HAUTE-VIENNE,1.473745331763645,46.04841813858183
ELBEUF-VILLE,ELBEUF,SEINE-MARITIME,1.004280092399471,49.28412845673974
CHAUGEY,LOSNE,COTE-D'OR,5.255037292221724,47.08764413683483
ILLE-SUR-TET,ILLE-SUR-TET,PYRENEES-ORIENTALES,2.62421294273941,42.668211445185555
CRUAS,CRUAS,ARDECHE,4.765580021583682,44.655900465849584
ETAINHUS-SAINT-ROMAIN,ETAINHUS,SEINE-MARITIME,0.33042269040196,49.56059940093719
SAINT-BRIEUC,SAINT-BRIEUC,COTES-D'ARMOR,-2.764962751496382,48.50719098335715
VITRY-SUR-SEINE,VITRY-SUR-SEINE,VAL-DE-MARNE,2.403548612394372,48.798813904369624
REZE-PONT-ROUSSEAU,REZE,LOIRE-ATLANTIQUE,-1.549492482887928,47.19333466964187
CHATENOIS-DOLAINCOURT,CHATENOIS,VOSGES,5.83889815712475,48.30161598331203
BUIRE-SUR-L'ANCRE,BUIRE-SUR-L'ANCRE,SOMME,2.599456443937742,49.96514173113135
BALSIEGES-BOURG,BALSIEGES,LOZERE,3.456601695538955,44.48206935118344
BELZ-PLOEMEL,PLOEMEL,MORBIHAN,-3.072226071368788,47.65254859798189
PERPIGNAN,PERPIGNAN,PYRENEES-ORIENTALES,2.879350450581682,42.69621526112407
THOMERY,FONTAINEBLEAU,SEINE-ET-MARNE,2.762318803658344,48.394401706465494
BAYARD,BAYARD-SUR-MARNE,HAUTE-MARNE,5.076848866730774,48.55114230967595
SAINT-POURCAIN-SUR-SIOULE,SAINT-POURCAIN-SUR-SIOULE,ALLIER,3.299085740982358,46.30503520484824
SELESTAT,SELESTAT,BAS-RHIN,7.442441424608559,48.2606544212921
NAMPS-QUEVAUVILLERS,NAMPS-MAISNIL,SOMME,2.105280731925284,49.808146221661694
VIGNOLS-SAINT-SOLVE,SAINT-SOLVE,CORREZE,1.397619507972418,45.312991479730286
VARETZ,VARETZ,CORREZE,1.447409972667475,45.191110140196194
JARRIE-VIZILLE,JARRIE,ISERE,5.742573539163729,45.08481083197159
BOURGTHEROULDE-THUIT-HEBERT,GRAND-BOURGTHEROULDE,EURE,0.838230934043214,49.317574268561536
CREPY-COUVRON,CREPY,AISNE,3.516648700534048,49.6234815197374
VITROLLES-AEROPORT-MARSEILLE-PROVENCE,VITROLLES,BOUCHES-DU-RHONE,5.237107512143576,43.441197332164776
LAROCHE-MIGENNES,MIGENNES,YONNE,3.511453668444495,47.96101462319648
MALLING,MALLING,MOSELLE,6.302209541081355,49.42150514070524
